,filename,height,width,class,x1,y1,x2,y2,confidence,page_id,ratio,center_x,center_y,median_box_width,print_y1,print_y2,print_x1,print_x2,print_height,print_width,print_area,column_counts,column_width,column_number,c1,c2,page_block,reading_order,box_page_id
0,TEC_1884-03-15_page_23.png,2041.0,651.0,plain text,101.0,259.0,752.0,2300.0,1,TEC_1884-03-15_page_23,3.1351766513056836,752.0,2300.0,665.0,259.0,2300.0,101.0,1428.0,2041,1327,2708407,1.0,1327.0,1,101.0,1428.001,0,1,B0C1R1
1,TEC_1884-03-15_page_23.png,2033.0,679.0,plain text,749.0,262.0,1428.0,2295.0,1,TEC_1884-03-15_page_23,2.9941089837997055,1428.0,2295.0,665.0,259.0,2300.0,101.0,1428.0,2041,1327,2708407,1.0,1327.0,1,101.0,1428.001,0,2,B0C1R2
2,EWJ_1858-08-01_page_5.png,766.0,1014.0,plain text,78.0,106.0,1092.0,872.0,1,EWJ_1858-08-01_page_5,0.7554240631163708,1092.0,872.0,1013.0,106.0,1636.0,72.0,1092.0,1530,1020,1560600,1.0,1020.0,1,72.0,1092.001,0,1,B0C1R1
3,EWJ_1858-08-01_page_5.png,699.0,1013.0,plain text,76.0,874.0,1089.0,1573.0,1,EWJ_1858-08-01_page_5,0.6900296150049359,1089.0,1573.0,1013.0,106.0,1636.0,72.0,1092.0,1530,1020,1560600,1.0,1020.0,1,72.0,1092.001,0,2,B0C1R2
4,EWJ_1858-08-01_page_5.png,69.0,1013.0,plain text,72.0,1567.0,1085.0,1636.0,1,EWJ_1858-08-01_page_5,0.06811451135241856,1085.0,1636.0,1013.0,106.0,1636.0,72.0,1092.0,1530,1020,1560600,1.0,1020.0,1,72.0,1092.001,0,3,B0C1R3
5,TEC_1889-05-01_page_8.png,215.0,715.0,plain text,150.0,224.0,865.0,439.0,1,TEC_1889-05-01_page_8,0.3006993006993007,865.0,439.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,1,B0C1R1
6,TEC_1889-05-01_page_8.png,192.0,709.0,plain text,139.0,442.0,848.0,634.0,1,TEC_1889-05-01_page_8,0.27080394922425954,848.0,634.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,2,B0C1R2
7,TEC_1889-05-01_page_8.png,142.0,672.0,plain text,153.0,637.0,825.0,779.0,1,TEC_1889-05-01_page_8,0.2113095238095238,825.0,779.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,3,B0C1R3
8,TEC_1889-05-01_page_8.png,75.0,701.0,plain text,150.0,791.0,851.0,866.0,1,TEC_1889-05-01_page_8,0.10699001426533523,851.0,866.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,4,B0C1R4
9,TEC_1889-05-01_page_8.png,477.0,698.0,plain text,144.0,869.0,842.0,1346.0,1,TEC_1889-05-01_page_8,0.6833810888252149,842.0,1346.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,5,B0C1R5
10,TEC_1889-05-01_page_8.png,343.0,712.0,plain text,147.0,1343.0,859.0,1686.0,1,TEC_1889-05-01_page_8,0.48174157303370785,859.0,1686.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,6,B0C1R6
11,TEC_1889-05-01_page_8.png,111.0,715.0,plain text,136.0,1680.0,851.0,1791.0,1,TEC_1889-05-01_page_8,0.15524475524475526,851.0,1791.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,7,B0C1R7
12,TEC_1889-05-01_page_8.png,157.0,718.0,plain text,139.0,1782.0,857.0,1939.0,1,TEC_1889-05-01_page_8,0.21866295264623956,857.0,1939.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,8,B0C1R8
13,TEC_1889-05-01_page_8.png,221.0,713.0,plain text,141.0,1933.0,854.0,2154.0,1,TEC_1889-05-01_page_8,0.30995792426367463,854.0,2154.0,706.0,215.0,2360.0,124.0,1554.0,2145,1430,3067350,2.0,715.0,1,124.0,839.0005,0,9,B0C1R9
